Site,Stream,D50_mm,U_ft_s,U_m_s,emb_0,emb_f,ustar_m_s,Mass_eroded_kg,Em_kg_s_m2,ustar_c_m_s
1,Stroubles460,4.74,0.876,0.267,0.9042,0.33,0.015,0.003799934,0.04674523,0.0139
1,Stroubles460,4.74,1.933,0.589,0.9042,0.1873,0.029,0.003684501,0.05287943,0.0139
1,Stroubles460,4.74,1.132,0.345,0.9571,0.321111,0.018,0.015806631,0.080066292,0.017
1,Stroubles460,4.74,1.963,0.598,0.9571,0.175503,0.03,0.0138714,0.079632136,0.017
2,Elliot Creek,15,1.132,0.345,0.1945,0.1945,0.018,0.000134425,0.001653642,0.017
2,Elliot Creek,15,2.153,0.656,0.1945,0.1945,0.032,0.005399382,0.066420992,0.017
3,Elliot Creek,15,0.572,0.174,0.1858,0.1858,0.01,0.000192613,0.002073266,0.01
3,Elliot Creek,15,1.591,0.485,0.1858,0.1858,0.025,0.003266473,0.046879946,0.01
3,Elliot Creek,15,1.778,0.542,0.1858,0.1858,0.027,0.006936879,0.054303865,0.01
4,NF Roanoke Bburg CC,24,1.469,0.448,0.238,0.238,0.023,1.24E-06,2.15E-05,0.023
4,NF Roanoke Bburg CC,24,2.177,0.664,0.238,0.1264,0.033,0.001350139,0.003321772,0.023
5,NF Roanoke Holiness,25,1.798,0.548,0.2027,0.148,0.028,0.005684538,0.061187753,0.0139
5,NF Roanoke Holiness,25,1.636,0.499,0.2027,0.2027,0.025,0.003809343,0.017264572,0.0139
6,Stroubles Bridge 1,11,1.253,0.382,0.7272,0.3733,0.02,0.008754123,0.044342793,0.0134
6,Stroubles Bridge 1,11,1.953,0.595,0.7272,0.1905,0.03,0.005372635,0.066091961,0.0134
7,Stroubles Bridge 2,17,1.197,0.365,0.5115,0.3373,0.019,0.009287222,0.04209122,0.0103
7,Stroubles Bridge 2,17,2.031,0.619,0.5115,0.2703,0.031,0.012992216,0.086059573,0.0103
8,Stroubles US BDA,19.5,1.122,0.342,0.4264,0.2215,0.018,0.002185808,0.0117639,0.0111
8,Stroubles US BDA,19.5,1.842,0.562,0.4264,0.1719,0.028,0.009997565,0.071741804,0.0111
9,Stroubles DS BDA,22,1.036,0.316,0.4636,0.1354,0.017,0.00130334,0.003741071,0.0155
9,Stroubles DS BDA,22,2.04,0.622,0.4636,0.1806,0.031,0.001856774,0.013324077,0.0155
